neutron_id,status,reached_detector,detector_hit_x_m,detector_hit_y_m,detector_hit_z_m,velocity_magnitude_m_s,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,direction_x,direction_y,direction_z,final_energy_MeV,initial_energy_MeV,energy_after_shell_MeV,energy_after_channel_MeV,total_flight_time_s,total_flight_time_ns,final_position_x_m,final_position_y_m,final_position_z_m,exit_position_x_m,exit_position_y_m,exit_position_z_m
38,missed_detector,False,,,,19219019.480024684,14644332.146232804,982128.0375974188,-12407645.638159798,0.7619708259026123,0.05110188054173081,-0.6455920215417703,1.9307145842308133,2.5045725776273366,1.9307145842308133,1.9307145842308133,3.90933583014605e-07,390.933583014605,4.946589865442829,0.44971082399044915,-2.72063176760968,0.12569842654023683,0.11703681357846486,1.2472860189245611
39,lost_in_channel,False,,,,2795050.506690571,1301095.528638179,-2307544.1220065467,-891458.2913978604,0.4654998274713531,-0.82558226281884,-0.31894174694301874,0.04083522409594974,2.571993071372327,2.571993071372327,2.571993071372327,6.315428079758974e-08,63.154280797589735,0.20250262280159442,-0.02277584881641948,1.3576993185598394,0.17354775823762403,-0.01622521767483848,1.2464922254795654
40,lost_in_channel,False,,,,3441230.9942744705,646013.0695062812,3372036.465584619,232611.1449391969,0.18772731925904407,0.9798925068369495,0.06759533007990919,0.06189894897197431,2.328383140845486,2.328383140845486,2.328383140845486,1.5778273629608757e-08,15.778273629608757,0.009146889948254407,0.028453130385320897,0.33016177504106287,0.008574699923324963,0.02557319765549577,0.3
41,lost_in_channel,False,,,,2730859.4355052733,2710888.2843793947,-328933.9448608098,-21918.622699197564,0.9926868622872991,-0.12045070521908766,-0.008026272760224329,0.03898112027450594,2.4601737589770423,2.4601737589770423,2.364258123912807,3.3964388322653766e-08,33.96438832265377,0.056548989557167306,-0.0035094025186232424,0.5800634070940661,-0.023314360787261703,0.045894768293655304,0.4611147070096445
42,lost_in_channel,False,,,,3017975.931546325,2159689.0909091523,-74443.38112267875,-2106746.2915614517,0.715608454108045,-0.024666658320411483,-0.6980659684989652,0.04760879255373449,2.5097066319260555,2.5097066319260555,0.5789356003202553,2.1326646550411167e-08,21.326646550411166,0.03451211709753918,0.014626041415374208,0.36638893122379734,0.000492185535046636,-0.022447125716905374,0.3
43,missed_detector,False,,,,18945130.28844388,5236591.81159,7995710.239568425,16357404.611054983,0.2764083293100501,0.42204567178118785,0.863409454673038,1.876077676861143,2.467930398084322,2.467930398084322,1.876077676861143,3.329404698268827e-07,332.9404698268827,1.2689448948972772,2.2854863309953433,5.782048136774645,-0.1188786489055786,0.12806582978408967,1.2464596248947195
44,missed_detector,False,,,,19944111.038109113,-13561758.452080399,12562635.357376084,-7485082.876325146,-0.679988114093762,0.6298919682793311,-0.3753029083132703,2.0791460144312905,2.4772054922405546,2.0791460144312905,2.0791460144312905,3.7232967106843065e-07,372.3296710684306,-4.283980822422748,3.680362911882721,-1.1525377744942285,-0.06720113758870143,-0.22575779880100938,1.1748112579865309
45,missed_detector,False,,,,19020955.50867583,9397840.535568856,-9968192.981033847,-13195168.450001381,0.49407825654617177,-0.5240637346786895,-0.6937174341206365,1.8911252037636141,2.4863962261318022,1.8911252037636141,1.8911252037636141,4.190867456077718e-07,419.0867456077718,3.5198764713400905,-3.469818054177323,-3.249424223217233,0.17278496649380803,0.047134518705991946,1.2454189239556963
46,missed_detector,False,,,,5339886.230496776,-5200463.965620788,444514.41167181905,1127814.8938300263,-0.973890405364869,0.0832441727191003,0.21120579075054643,0.14904576198275526,2.307451738179324,2.307451738179324,0.14904576198275526,9.65227141961743e-07,965.227141961743,-4.903786914327062,0.3561220130708094,1.6515030964829582,-0.029985082108116016,-0.05574549148690244,0.5504507394694326
47,missed_detector,False,,,,20010211.747472618,9269558.629898466,17711995.800458618,-876961.6582852966,0.4632414062819327,0.8851478447096255,-0.04382570606210906,2.092950668156051,2.434706700491139,2.434706700491139,2.092950668156051,3.1404447966486683e-07,314.04447966486686,2.3403610453852743,4.630739224433276,1.146985058659006,0.02057943809045731,0.18412908987990434,1.2454971846031717
48,success,True,-0.06869272309168889,-0.004309581404332413,2.9,22149937.106598288,-524521.0840302831,-32906.92533618135,22143701.330015548,-0.023680477353320906,-0.001485644188415264,0.9997184742984718,2.5644876860327908,2.5644876860327908,2.5644876860327908,2.5644876860327908,1.3096274903706862e-07,130.96274903706862,-0.06869272309168889,-0.004309581404332413,2.9,-0.06869272309168889,-0.004309581404332413,2.9
49,lost_in_channel,False,,,,4154592.954210369,-232035.6505627854,-2268295.251304997,3472987.003279676,-0.05585039331654251,-0.545972921127267,0.8359391741999812,0.09022202775835234,2.3745427746705547,2.3745427746705547,2.3745427746705547,7.070770314627046e-08,70.70770314627046,-0.09261344042836711,-0.1637278778438774,1.3598072295262242,-0.07596719921918607,-0.17801124732142315,1.2438820324318536
50,missed_detector,False,,,,8928683.103256872,8142445.18108005,-2903342.0717502963,2234406.6876680576,0.9119424541016548,-0.32517024494813335,0.2502504189954982,0.41670666013676155,2.5454304033104,2.5454304033104,0.41670666013676155,6.227082002861208e-07,622.7082002861208,4.764712241582918,-1.729132723661287,2.607621214516502,0.1844466200259667,-0.09342139309356864,1.2416964168272
51,lost_in_channel,False,,,,2907234.5114278574,2197251.242386887,1888933.8349378332,236703.29421769115,0.7557874102518582,0.6497356259059072,0.08141871365631141,0.044178987062676346,2.737692954959103,2.737692954959103,2.737692954959103,6.081257666588466e-08,60.812576665884656,0.10587812358978245,-0.1479409662285392,1.3601804531747277,0.09392350063609682,-0.13569597523592736,1.2478551635399282
52,missed_detector,False,,,,20157696.94560928,-18988318.729134385,4632690.524144458,4930991.431683106,-0.9419885009864876,0.2298224115902062,0.24462077413844482,2.1239165377386424,2.23563339732878,2.1239165377386424,2.1239165377386424,3.2244357392692114e-07,322.44357392692115,-5.117400986060904,1.1190253510595005,2.5057770176218703,-0.22643690442954512,-0.07425159347267167,1.235664464571551
53,missed_detector,False,,,,13673910.926380455,-5731854.385822275,-9274885.607171917,8252162.280044666,-0.4191817846907331,-0.6782906263692491,0.603496857956281,0.9773297440170994,2.528620079971007,0.9773297440170994,0.9773297440170994,4.6002001633943513e-07,460.02001633943513,-2.555175432822453,-4.024385026306766,4.125103649685739,-0.05338611733577891,0.01682182816674742,0.4948666837665107
54,missed_detector,False,,,,13354283.637409948,-6586265.986716207,-9737148.80153243,6336081.205085347,-0.4931950051042654,-0.7291404815047753,0.47446058336935437,0.9321736351956325,2.4776880945983333,0.9321736351956325,0.9321736351956325,4.708658348962304e-07,470.86583489623035,-3.010927114811951,-4.45462405415523,3.2304705198558,-0.014589748224882616,-0.02058600058529835,0.3
55,missed_detector,False,,,,21801249.301123954,-796394.3819162052,-3174193.400062964,21554227.50499787,-0.0365297589562974,-0.1455968580616763,0.9886693742769435,2.4843820661898417,2.4843820661898417,2.4843820661898417,2.4843820661898417,2.9392799133014973e-07,293.9279913301497,-0.23408260105351064,-0.9329842904539785,6.335390797118777,-0.046008830495078035,-0.18337764481801486,1.2452182263562712
56,lost_in_channel,False,,,,4167121.090639258,-1406059.2213344912,-1347179.3088754846,3684155.74587836,-0.33741741378549533,-0.3232877757984279,0.8841009574101892,0.09076697553572134,2.3909888186698414,2.3909888186698414,2.3909888186698414,2.8133196176309336e-08,28.133196176309337,0.024237286089033003,-0.034811396916219504,0.42220171063382694,0.017478836008710082,0.022166104072732673,0.29999999999999993
57,lost_in_channel,False,,,,2147072.80433664,1683395.9259889745,-1330170.8226931836,-82130.17680162434,0.7840423122070501,-0.6195275819275972,-0.03825216202996866,0.024096233626920892,2.55111559527408,2.55111559527408,2.55111559527408,1.5898773773236535e-08,15.898773773236535,-0.02627496188051552,-0.01817306600387197,0.3468635667596449,-0.02416327367732775,-0.01678987746042934,0.3
58,missed_detector,False,,,,8061505.052633769,-6467848.634369498,-4244308.609350145,2267298.433184447,-0.8023127929760947,-0.5264908452750383,0.2812500170106201,0.3396940064545082,2.505276064739986,0.3396940064545082,0.3396940064545082,7.704974767541283e-07,770.4974767541282,-4.901376677754607,-3.2185309992130473,2.077884268081506,-0.022335773563627693,-0.01641725022285944,0.29999999999999993
59,lost_in_channel,False,,,,3101320.70397199,-1468150.2144110461,490220.3525466537,2687454.01128264,-0.47339516114238855,0.15806825521746531,0.8665514688115635,0.05027464123647815,2.546423346286388,2.546423346286388,2.546423346286388,6.786332557689799e-08,67.86332557689799,-0.031578665388329874,0.20089112976509232,1.3879454139759606,0.008715004524751066,0.16571439673334798,1.248031477472757
