Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
9522000.0 ; 1.23500056
9553000.0 ; 1.22359693
9560000.0 ; 1.23003041
9590000.0 ; 1.22174948
9600000.0 ; 1.21930001
9630000.0 ; 1.22289898
9640000.0 ; 1.23150201
9678000.0 ; 1.22604564
9680000.0 ; 1.22405781
9692000.0 ; 1.2260016
9700000.0 ; 1.23619996
9726000.0 ; 1.2308598
9740000.0 ; 1.24600195
9750000.0 ; 1.22659498
9800000.0 ; 1.2294
9821000.0 ; 1.21750333
9830000.0 ; 1.21879898
9868000.0 ; 1.19827951
9900000.0 ; 1.18220005
9917000.0 ; 1.18310405
9921000.0 ; 1.17310328
1.0E7 ; 1.173
1.005E7 ; 1.14759702
1.0053E7 ; 1.13869839
1.017E7 ; 1.11830379
1.025E7 ; 1.11221037
1.03E7 ; 1.11160196
1.0372E7 ; 1.13769608
1.04E7 ; 1.14569603
1.0448E7 ; 1.16152028
1.044806E7 ; 1.16155471
1.0478E7 ; 1.1792822
1.05E7 ; 1.1957
1.0506E7 ; 1.19651514
1.0536E7 ; 1.21209813
1.055E7 ; 1.20959799
1.0553E7 ; 1.22240371
1.062E7 ; 1.25459723
1.069E7 ; 1.29849638
1.07E7 ; 1.29880201
1.075E7 ; 1.33140001
1.08E7 ; 1.35519802
1.083E7 ; 1.37426479
1.09E7 ; 1.41110404
1.094E7 ; 1.42019642
1.1E7 ; 1.4084437
1.1004E7 ; 1.40050446
1.1053E7 ; 1.40119687
1.1096E7 ; 1.38889748
1.11E7 ; 1.39390202
1.117E7 ; 1.40119539
1.125E7 ; 1.38682575
1.13E7 ; 1.38319603
1.14E7 ; 1.37339799
1.15E7 ; 1.35650004
1.1553E7 ; 1.34500457
1.1708E7 ; 1.33707743
1.175E7 ; 1.35480269
1.1751E7 ; 1.3491984
1.18E7 ; 1.35919809
1.1828E7 ; 1.37329
1.19E7 ; 1.41269908
1.1909E7 ; 1.40800041
1.1917E7 ; 1.42169615
1.2E7 ; 1.42639997
1.205E7 ; 1.444598
1.2053E7 ; 1.44999566
1.2088E7 ; 1.44909529
1.21E7 ; 1.45159602
1.2196E7 ; 1.38720178
1.2224E7 ; 1.37500342
1.225E7 ; 1.36750003
1.23E7 ; 1.34529799
1.24E7 ; 1.32490403
1.25E7 ; 1.33126717
1.2553E7 ; 1.34135008
1.2599E7 ; 1.34757725
1.27E7 ; 1.36649797
1.2738E7 ; 1.36699751
1.2792E7 ; 1.38760371
1.29E7 ; 1.40199945
1.299E7 ; 1.42350095
1.3E7 ; 1.4209891
1.3053E7 ; 1.41560363
1.312E7 ; 1.41640478
1.325E7 ; 1.40739497
1.328E7 ; 1.39500122
1.33E7 ; 1.39730199
1.35E7 ; 1.3927333
1.354E7 ; 1.4000036
1.3553E7 ; 1.39965825
1.3587E7 ; 1.4005011
1.3646E7 ; 1.38599667
1.37E7 ; 1.3812099
1.3767E7 ; 1.37400227
1.376742E7 ; 1.37380042
1.3822E7 ; 1.34868849
1.383E7 ; 1.34808488
1.3965E7 ; 1.33059882
1.4E7 ; 1.30229998
1.4053E7 ; 1.31545568
1.4182E7 ; 1.32940235
1.425E7 ; 1.3343
1.4364E7 ; 1.32120464
1.4419E7 ; 1.31220145
1.4472E7 ; 1.31380276
1.447205E7 ; 1.31381384
1.45E7 ; 1.32024403
1.4553E7 ; 1.33417224
1.4566E7 ; 1.33466966
1.4653E7 ; 1.36323126
1.4694E7 ; 1.37941831
1.475E7 ; 1.38075245
1.4767E7 ; 1.37759504
1.4807E7 ; 1.38063325
1.4812E7 ; 1.38240055
1.4837E7 ; 1.38558406
1.4863E7 ; 1.38874696
1.4888E7 ; 1.39024121
1.4892E7 ; 1.39664117
1.4909E7 ; 1.39929559
1.4927E7 ; 1.39653327
1.4962E7 ; 1.39681538
1.4996E7 ; 1.40360003
1.5E7 ; 1.39750001
1.5045E7 ; 1.41031898
1.5053E7 ; 1.41459724
1.5093E7 ; 1.42540407
1.5248E7 ; 1.43393949
1.5263E7 ; 1.43389544
1.52634E7 ; 1.43393695
1.5448E7 ; 1.45439672
1.5477E7 ; 1.45562012
1.55E7 ; 1.45708611
1.5553E7 ; 1.46390287
1.5731E7 ; 1.47969797
1.5966E7 ; 1.50740396
1.597E7 ; 1.51370116
1.599E7 ; 1.50999716
1.6E7 ; 1.51560445
1.6053E7 ; 1.50270146
1.6068E7 ; 1.50168095
1.6256E7 ; 1.46330621
1.6347E7 ; 1.43541288
1.634745E7 ; 1.43541274
